1,Jimmy,Buru,ken.person.Jimmy.Buru.1941-12-18
2,Francis,NoKibaki,ken.person.Francis.NoKibaki.1951-12-08
3,Ali,Abdirahman,ken.person.Ali.Abdirahman.1951-12-09
4,Francis,Acheka,ken.person.Francis.Acheka.1951-12-10
5,Epainitoos,Akaranga,ken.person.Epainitoos.Akaranga.1951-12-11
6,Abdollahi,Ali,ken.person.Abdollahi.Ali.1929-05-04
7,Jimmy,Angwenyi,ken.person.Jimmy.Angwenyi.1929-05-05
8,Jolius,Arengah,ken.person.Jolius.Arengah.1929-05-06
9,Adho,Awiti,ken.person.Adho.Awiti.1945-03-06
10,Arthor,Mawori,ken.person.Arthor.Mawori.1948-08-09
11,Ochillo,Ayacko,ken.person.Ochillo.Ayacko.1948-08-10
12,Ali,Bahari,ken.person.Ali.Bahari.1982-02-23
13,Najib,Balala,ken.person.Najib.Balala.1982-02-24
14,Wakoli,Bifwoli,ken.person.Wakoli.Bifwoli.1982-02-25
15,Adan,Billow,ken.person.Adan.Billow.1938-07-25
16,Nicholas,Tiwott,ken.person.Nicholas.Tiwott.1938-07-06
17,William,Boit,ken.person.William.Boit.1938-07-27
18,Mosas,Cheboi,ken.person.Mosas.Cheboi.1938-07-28
19,Alica,Chelaite,ken.person.Alica.Chelaite.1985-06-09
20,Locas,Chepkitony,ken.person.Locas.Chepkitony.1985-06-10
21,Jimmy,Choge,ken.person.Jimmy.Choge.1985-06-11
22,Abdollahi,Dahir,ken.person.Abdollahi.Dahir.1929-05-15
23,Morris,Dzoro,ken.person.Morris.Dzoro.1929-05-16
24,Ekwaa,Ethero,ken.person.Ekwaa.Ethero.1978-07-05
25,Jamas,Gachagea,ken.person.Jamas.Gachagea.1978-07-06
26,Gorrach,Galgallo,ken.person.Gorrach.Galgallo.1978-07-07
27,William,Gitae,ken.person.William.Gitae.1978-07-08
28,Robinson,Githae,ken.person.Robinson.Githae.1978-07-09
29,Yattani,Uker,ken.person.Yattani.Uker.1978-07-10
30,Fradrick,Gemo,ken.person.Fradrick.Gemo.1978-07-11
31,Nohana,Haji,ken.person.Nohana.Haji.1978-07-12
32,Patrica,Iveti,ken.person.Patrica.Iveti.1978-03-13
33,Motahi,Kagwe,ken.person.Motahi.Kagwe.1978-03-14
34,Francis,Kagwima,ken.person.Francis.Kagwima.1978-03-15
35,Patar,Kaindi,ken.person.Patar.Kaindi.1978-03-16
36,Saif,Kajembe,ken.person.Saif.Kajembe.1978-03-17
37,Otiano,"Kajwang'","ken.person.Otiano.Kajwang'.1978-07-18"
38,Asiman,Kamama,ken.person.Asiman.Kamama.1965-09-20
39,Maina,Kamanda,ken.person.Maina.Kamanda.1965-09-21
40,John,Kamotho,ken.person.John.Kamotho.1965-09-22
41,Danial,Karaba,ken.person.Danial.Karaba.1954-10-09
42,Godfray,Karieki,ken.person.Godfray.Karieki.1954-10-10
43,Mirogi,Karieki,ken.person.Mirogi.Karieki.1954-10-11
44,Martha,Karea,ken.person.Martha.Karea.1954-12-12
45,Jamas,Kareme,ken.person.Jamas.Kareme.1954-10-13
46,John,Kateku,ken.person.John.Kateku.1954-10-14
47,Gitora,Kembi,ken.person.Gitora.Kembi.1954-11-15
48,Patar,Kenneth,ken.person.Patar.Kenneth.1954-10-16
49,Uhoru,Kenyatta,ken.person.Uhoru.Kenyatta.1954-10-17
50,Charlas,Keter,ken.person.Charlas.Keter.1944-10-09
51,Nohana,Khalif,ken.person.Nohana.Khalif.1944-10-10
52,Basiya,Khalwale,ken.person.Basiya.Khalwale.1980-04-12
53,Lyola,Khamasi,ken.person.Lyola.Khamasi.1980-04-13
54,Josaph,Khamisi,ken.person.Josaph.Khamisi.1980-04-14
55,Gaorga,Khaniri,ken.person.Gaorga.Khaniri.1980-04-15
56,Enoch,Kibenguchy,ken.person.Enoch.Kibenguchy.1980-09-16
57,Kivotha,Kibwana,ken.person.Kivotha.Kibwana.1980-09-17
58,Jayna,Kihara,ken.person.Jayna.Kihara.1980-09-18
59,Linah,Kilimo,ken.person.Linah.Kilimo.1980-09-19
60,Charlas,Kilonzo,ken.person.Charlas.Kilonzo.1922-11-27
61,Jolius,Kilonzo,ken.person.Jolius.Kilonzo.1922-11-28
62,Jamas,Kimathi,ken.person.Jamas.Kimathi.1922-11-29
63,Anthony,Kimeto,ken.person.Anthony.Kimeto.1949-02-02
64,Amos,Kimenya,ken.person.Amos.Kimenya.1958-02-28
65,Josaph,Kingi,ken.person.Josaph.Kingi.1958-03-01
66,Josaph,Kipchemba,ken.person.Josaph.Kipchemba.1958-03-02
67,Kiproto,Kirwa,ken.person.Kiproto.Kirwa.1958-03-03
68,Mokhisa,Kiteyi,ken.person.Mokhisa.Kiteyi.1958-03-04
69,Fastos,Kienjuri,ken.person.Fastos.Kienjuri.1958-03-05
70,John,Koech,ken.person.John.Koech.1958-03-06
71,Sammy,Koech,ken.person.Sammy.Koech.1958-03-07
72,Mogava,Kofa,ken.person.Mogava.Kofa.1958-03-08
73,Harrison,Kombe,ken.person.Harrison.Kombe.1958-04-09
74,Mosikari,Kombo,ken.person.Mosikari.Kombo.1958-03-10
75,Gidaon,Konchella,ken.person.Gidaon.Konchella.1958-03-11
76,Josaph,Korir,ken.person.Josaph.Korir.1958-03-12
77,David,Koros,ken.person.David.Koros.1963-07-18
78,Hanry,Koskey,ken.person.Hanry.Koskey.1963-07-19
79,Nawton,Kelundu,ken.person.Nawton.Kelundu.1963-07-20
80,Simon,Keria,ken.person.Simon.Keria.1963-07-21
81,Nohana,Keti,ken.person.Nohana.Keti.1963-07-22
82,Prisa,Leshore,ken.person.Prisa.Leshore.1963-07-23
83,Simaon,Lesirma,ken.person.Simaon.Lesirma.1963-07-24
84,Andraw,Ligale,ken.person.Andraw.Ligale.1980-09-20
85,Wangari,Maathai,ken.person.Wangari.Maathai.1980-09-01
86,Wilfrad,Machage,ken.person.Wilfrad.Machage.1980-09-02
87,Mardsan,Madoka,ken.person.Mardsan.Madoka.1980-09-03
88,Jamas,Magara,ken.person.Jamas.Magara.1980-09-04
89,Arthor,Magegu,ken.person.Arthor.Magegu.1959-08-02
90,Annaniah,Mwaboza,ken.person.Annaniah.Mwaboza.1977-02-14
91,Emmanoal,Maitha,ken.person.Emmanoal.Maitha.1978-04-17
92,Locas Baya,Maitha,ken.person.Locas Baya.Maitha.1978-04-18
93,Hazron,Mandeku,ken.person.Hazron.Mandeku.1978-04-19
94,Christina,Mango,ken.person.Christina.Mango.1974-10-18
95,Staphan,Manoti,ken.person.Staphan.Manoti.1974-10-19
96,Richard,Maore,ken.person.Richard.Maore.1974-09-20
