DEBUG [org.bungeni.translators.translator.OAInputStepsResolver] executing input step = appendBungeniNS, odt2metalex/common/add_bungeni_ns.xsl
DEBUG [org.bungeni.translators.translator.OAInputStepsResolver] executing input step = appendRDFNS, odt2metalex/common/add_rdf_ns.xsl
DEBUG [org.bungeni.translators.translator.OAInputStepsResolver] executing input step = mergeStyles, odt2metalex/common/merge_styles.xsl
DEBUG [org.bungeni.translators.translator.OAInputStepsResolver] executing input step = ODFToMetaLanguage, odt2metalex/debaterecord/odf_to_meta_language.xsl
DEBUG [org.bungeni.translators.translator.OAReplaceStepsResolver] executing replace step  :replacerefmarkstart
DEBUG [org.bungeni.translators.translator.OAReplaceStepsResolver] executing replace step  :replacerefmarkend
DEBUG [org.bungeni.translators.translator.OAReplaceStepsResolver] executing replace step  :bookmarkstart
DEBUG [org.bungeni.translators.translator.OAReplaceStepsResolver] executing replace step  :bookmarkend
DEBUG [org.bungeni.translators.translator.OAReplaceStepsResolver] executing replace step  :replaceemptyline
DEBUG [org.bungeni.translators.translator.OAOutputStepsResolver] executing output step = MetaLanguageNormalisation , odt2metalex/common/meta_language_normalization.xsl
DEBUG [org.bungeni.translators.translator.OAOutputStepsResolver] executing output step = MetaLanguageAddNamespaceMetalex , odt2metalex/common/meta_language_add_mlx_ns.xsl
DEBUG [org.bungeni.translators.translator.OAOutputStepsResolver] executing output step = MetaLanguageAddNamespaceBungeni , odt2metalex/common/meta_language_add_bungeni_ns.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] resolving pipeline path = resources/metalex2akn/minixslt/debaterecord/pipeline.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: root , metalex2akn/minixslt/debaterecord/root.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: body , metalex2akn/minixslt/debaterecord/debate_body.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: Preface , metalex2akn/minixslt/debaterecord/preface.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: Observation , metalex2akn/minixslt/debaterecord/observation.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: PapersLaid , metalex2akn/minixslt/debaterecord/tableddocuments.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: PapersLaidList , metalex2akn/minixslt/debaterecord/tableddocumentslist.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: GroupActivity , metalex2akn/minixslt/debaterecord/groupactivity.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: Speech , metalex2akn/minixslt/debaterecord/speech.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: QuestionsContainer , metalex2akn/minixslt/debaterecord/questionscontainer.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: QuestionAnswer , metalex2akn/minixslt/debaterecord/questionanswer.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: Question , metalex2akn/minixslt/debaterecord/question.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: PointOfOrder , metalex2akn/minixslt/debaterecord/pointoforder.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: PersonalStatement , metalex2akn/minixslt/debaterecord/personalstatement.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: MinisterialStatement , metalex2akn/minixslt/debaterecord/ministerialstatement.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: Petitions , metalex2akn/minixslt/debaterecord/petitions.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: PetitionsList , metalex2akn/minixslt/debaterecord/petitionslist.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: PMotionsContainer , metalex2akn/minixslt/debaterecord/pmotionscontainer.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: NMotionsContainer , metalex2akn/minixslt/debaterecord/nmotionscontainer.xsl
DEBUG [org.bungeni.translators.translator.OAPipelineResolver] 	 processing element :: NoticeOfMotion , metalex2akn/minixslt/debaterecord/noticeofmotion.xsl
